"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","CryptoPriceService API Test - positive","As user when DELETE resource /cryptocurrency/{id}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency with unknown properties","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address refresh page or back from other page then wallet address should be maintained in the input wallets","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too short platform property","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid query param syntax","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, I want to see app title","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet and not empty wallet","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with two wallet address query param is invalid","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see wallets counter","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and POST json data to the resource /cryptocurrency/{id}","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET resource /cryptocurrency","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too short tokenAddress property","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets","0","0","1","0","0"
"Token balance","Token balance UI","As user in system I am able to open explorer page for ETH wallet address that has been provided","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send wallet addresses and only ETH price is not available, then system show error toast","0","0","1","0","0"
"Wallet provider","Input wallet UI","As a normal user, when I type ETH wallet address and press enter key I want to open balance page","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name too short","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when POST json data to the resource /cryptocurrency","0","0","2","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for 22 wallet addresses","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid too long wallet address","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too short platform property","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my multiple wallets with coins at the top of balance page","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with empty prices for ETH","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid wallet","0","0","1","0","0"
"Token balance","Token tree map chart","As user when provided wallet balance empty, then no data label is display","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with two wallet address query param is invalid","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when GET resource /cryptocurrency/contract-address/{address_not_available}","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when GET resource /cryptocurrency/contract-address/{address_available}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol too long","0","0","1","0","0"
"Token balance","Token balance UI","As user I can see total asset value for token balance","0","0","1","0","0"
"Token balance","Token tree map chart","As user I can chart labels with token symbol and current token balance","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency/{id_available_2}","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET resource /cryptocurrency","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet  and not empty wallet","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency with symbol unknown","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name too long","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with empty prices for MATIC","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with one wallet address query param is invalid","0","0","2","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid too long wallet address","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for MATIC","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet and not empty wallet","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty and decrease 10% each past data, trend shows correct line","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_available}","0","0","1","0","0"
"Token balance","Total value service","As user I want see proper calculation of my wallet without coins at the top of balance page","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when open balance page, trend line chart label is visible","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid","0","0","2","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets in single query param","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for AVAX","0","0","1","0","0"
"Token balance","Token balance UI","As user I want to see balance component for ETH","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for 44 wallet addresses","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too short tokenAddress property","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET resource /cryptocurrency/contract-address/{address}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with two wallet address query param is invalid","0","0","1","0","0"
"Wallet provider","Error handler","As user, when send too long wallet address, info should be raise","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property symbol too short","0","0","1","0","0"
