"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with current price for MATIC is null","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too long platform property","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance empty, then I want to see flat trend line for 7d ","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol too short","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol not allowed char","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency with symbol unknown","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET and query resource by name /cryptocurrency?name={token_name}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for 22 wallet addresses","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with empty prices for AVAX","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property name too long","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet  and not empty wallet","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property symbol too long","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty I want to see trend line for 7d ","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for 44 wallet addresses","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and DELETE resource /cryptocurrency/{id}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with one wallet address query param is invalid","0","0","2","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property symbol too short","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid too long wallet address","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too long platform property","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid too short wallet address","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid too long wallet address","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name not match with symbol","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too short platform property","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for single wallet","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_available}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with two wallet address query param is invalid","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too short tokenAddress property","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty and decrease 10% each past data, trend shows correct line","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when GET resource /cryptocurrency/contract-address/{address_available}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency with unknown properties","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_not_available}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid query param syntax","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property symbol too long","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name too short","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET resource /cryptocurrency/contract-address/{address}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid too short wallet address","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with invalid query param syntax","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available}","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and POST json data to the resource /cryptocurrency/{id}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for single wallet","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid query param syntax","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid too long wallet address","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when open balance page, trend line chart label is visible","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET resource /cryptocurrency","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with one wallet address query param is invalid","0","0","2","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and PUT json data to the resource /cryptocurrency/{id}","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when POST json data to the resource /cryptocurrency","0","0","2","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} property name too short","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with empty prices for ETH","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with one wallet address query param is invalid","0","0","2","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency without property symbol","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} without property symbol","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with empty prices for MATIC","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with two wallet address query param is invalid","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with invalid wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet and not empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data that already exist to the resource /cryptocurrency","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/eth/balance with current price for ETH is null","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid too short wallet address","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_available} too short tokenAddress property","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency?name={token_name_available},{token_name_not_available}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency without property name","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when PUT json data to the resource /cryptocurrency/{id}","0","0","2","0","0"
"","CryptoPriceService API Test - negative","As user when DELETE resource /cryptocurrency/{id_not_available}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency property name too long","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when POST json data to the resource /cryptocurrency too short platform property","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/matic/balance with invalid wallet","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user GET and query resource by name /cryptocurrency?name={token_name_not_available}","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency/{id_available_1}","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with two wallet address query param is invalid","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for 22 wallet addresses","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for single wallet","0","0","1","0","0"
"","CryptoPriceService API Test - empty db","As user when db empty and GET resource /cryptocurrency","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when PUT json data to the resource /cryptocurrency/{id_not_available} without property name","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user GET and query resource by name /cryptocurrency/{id_available_2}","0","0","1","0","0"
"","CryptoPriceService API Test - positive","As user when DELETE resource /cryptocurrency/{id}","0","0","1","0","0"
"","CryptoPriceService API Test - negative","As user when GET resource /cryptocurrency/contract-address/{address_not_available}","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet and not empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets","0","0","1","0","0"
"","WalletService API Test - negative","As user GET resource /api/v1/wallet/avax/balance with current price for AVAX is null","0","0","1","0","0"
